coNxhmlYFdcJdBlKtW,QuanhTruongToan,1998-05-25,Phường An Thạnh - Quận Ninh Kiều,0122752384,TruongToanQuanh@yahoo.com,$2b$10$8CFh9mCe.yRRvwoL8DQw4e4HtxRsFmUZO.iX/5JyYeY1hHSmPbzSu,0,0
aCKiiHQAwBvJMmeLqt,BuiTruongSon,1997-01-25,Phường 17 - Quận Gò Vấp,0850511299,TruongSonBui@student.vn.enu,$2b$10$8CFh9mCe.yRRvwoL8DQw4e4HtxRsFmUZO.iX/5JyYeY1hHSmPbzSu,0,0
S4MLYd8wUkBDqVz2XO,VoGiaBao,1998-07-26,Phường An Lạc - Quận Ninh Kiều,0486638720,GiaBaoVo@student.vn.enu,$2b$10$8CFh9mCe.yRRvwoL8DQw4e4HtxRsFmUZO.iX/5JyYeY1hHSmPbzSu,0,0
WkUOIU6mrLEahs4i3Q,VuTruongToan,1993-09-30,Phường An Thới - Quận Ninh Kiều,0218637429,TruongToanVu@student.vn.enu,$2b$10$8CFh9mCe.yRRvwoL8DQw4e4HtxRsFmUZO.iX/5JyYeY1hHSmPbzSu,0,0
phYQWfnCHzGdg6YV8D,TranGiaHao,2003-02-19,Phường An Thới - Quận Ninh Kiều,0194780818,GiaHaoTran@student.vn.enu,$2b$10$8CFh9mCe.yRRvwoL8DQw4e4HtxRsFmUZO.iX/5JyYeY1hHSmPbzSu,0,0
w6J9VGSSYkWe9GRKdf,KieuKieuLan,1997-12-27,Phường An Thới - Quận Ninh Kiều,0201591651,KieuLanKieu@student.vn.enu,$2b$10$8CFh9mCe.yRRvwoL8DQw4e4HtxRsFmUZO.iX/5JyYeY1hHSmPbzSu,0,0
lKkLMo5lbwv8AtMumk,KieuDieuQuang,2001-02-09,Phường 17 - Quận Gò Vấp,0654334844,DieuQuangKieu@yahoo.com,$2b$10$8CFh9mCe.yRRvwoL8DQw4e4HtxRsFmUZO.iX/5JyYeY1hHSmPbzSu,0,0
zoUqwAVtEJXnf5MXL7,BuiTruongPhat,2007-12-16,Phường An Khánh - Quận Ninh Kiều,0004554007,TruongPhatBui@gmail.com,$2b$10$8CFh9mCe.yRRvwoL8DQw4e4HtxRsFmUZO.iX/5JyYeY1hHSmPbzSu,0,0
Fn5q7Pq85tQYeMx8fe,TranMyChi,1999-02-01,Phường An Khánh - Quận Ninh Kiều,0315522328,MyChiTran@yahoo.com,$2b$10$8CFh9mCe.yRRvwoL8DQw4e4HtxRsFmUZO.iX/5JyYeY1hHSmPbzSu,0,0
dR9UbKDoSWwpPTYao3,NguyenGiaBach,2004-10-02,Phường An Hòa - Quận Ninh Kiều,0188325354,GiaBachNguyen@student.vn.enu,$2b$10$8CFh9mCe.yRRvwoL8DQw4e4HtxRsFmUZO.iX/5JyYeY1hHSmPbzSu,0,0
TyNb1Jn1NhrvTAIXMo,PhamGiaHao,1996-07-03,Phường Hưng Lợi - Quận Ninh Kiều,0515305906,GiaHaoPham@gmail.com,$2b$10$8CFh9mCe.yRRvwoL8DQw4e4HtxRsFmUZO.iX/5JyYeY1hHSmPbzSu,0,0
FczpCQ6N5gsglFUiRO,BuiMinhChau,1998-02-02,Phường An Thới - Quận Ninh Kiều,0050618424,MinhChauBui@student.vn.enu,$2b$10$8CFh9mCe.yRRvwoL8DQw4e4HtxRsFmUZO.iX/5JyYeY1hHSmPbzSu,0,0
kz9JAmvoGsEUJzNQLl,PhamTruongToan,2002-08-12,Phường 16 - Quận Gò Vấp,0236592567,TruongToanPham@student.vn.enu,$2b$10$8CFh9mCe.yRRvwoL8DQw4e4HtxRsFmUZO.iX/5JyYeY1hHSmPbzSu,0,0
nO2mLSxz3LGokdeTUS,TranGiaKhang,2000-09-21,Phường Hưng Lợi - Quận Ninh Kiều,0728405996,GiaKhangTran@gmail.com,$2b$10$8CFh9mCe.yRRvwoL8DQw4e4HtxRsFmUZO.iX/5JyYeY1hHSmPbzSu,0,0
Aq5UiSSjGSImRHf15J,DoGiaKhang,2002-10-08,Phường An Lạc - Quận Ninh Kiều,0609312563,GiaKhangDo@yahoo.com,$2b$10$8CFh9mCe.yRRvwoL8DQw4e4HtxRsFmUZO.iX/5JyYeY1hHSmPbzSu,0,0
